"","locus_tag","gene"
"1","LFT_00001","dnaA"
"2","LFT_00002","dnaN"
"3","LFT_00003","gyrB"
"4","LFT_00004","gyrA"
"5","LFT_00006","queE"
"6","LFT_00007","queC"
"7","LFT_00008","pepA"
"8","LFT_00009","smpB"
"9","LFT_00033","sqr"
"10","LFT_00037","queA"
"11","LFT_00053","mrcA"
"12","LFT_00055","pgk"
"13","LFT_00056","tpiA"
"14","LFT_00057","secG"
"15","LFT_00064","atpB"
"16","LFT_00065","atpE"
"17","LFT_00066","atpF"
"18","LFT_00067","atpH"
"19","LFT_00068","atpA"
"20","LFT_00069","atpG"
"21","LFT_00071","atpC"
"22","LFT_00082","lpxH"
"23","LFT_00083","ugtP"
"24","LFT_00085","gloA"
"25","LFT_00087","thiG"
"26","LFT_00090","thiD"
"27","LFT_00093","infC"
"28","LFT_00094","rpmI"
"29","LFT_00095","rplT"
"30","LFT_00096","pheT"
"31","LFT_00097","pheS"
"32","LFT_00100","queD"
"33","LFT_00103","fur"
"34","LFT_00104","rplU"
"35","LFT_00105","rpmA"
"36","LFT_00106","obg"
"37","LFT_00107","proB"
"38","LFT_00108","proA"
"39","LFT_00109","nadD"
"40","LFT_00110","rsfS"
"41","LFT_00113","dinG"
"42","LFT_00117","yccA"
"43","LFT_00119","polA"
"44","LFT_00122","coaE"
"45","LFT_00124","lon"
"46","LFT_00125","thiL"
"47","LFT_00130","rnr"
"48","LFT_00148","mazG"
"49","LFT_00156","prfC"
"50","LFT_00157","recR"
"51","LFT_00173","czcA_1"
"52","LFT_00174","ygiD"
"53","LFT_00175","dksA"
"54","LFT_00178","dapF"
"55","LFT_00183","trmI"
"56","LFT_00195","gcvH"
"57","LFT_00196","gcvPA"
"58","LFT_00197","gcvPB"
"59","LFT_00198","lipM"
"60","LFT_00202","queG"
"61","LFT_00207","flgB"
"62","LFT_00208","flgC"
"63","LFT_00209","fliE"
"64","LFT_00210","fliF"
"65","LFT_00211","fliG"
"66","LFT_00217","flgD"
"67","LFT_00218","flgE"
"68","LFT_00219","fliL"
"69","LFT_00220","fliN"
"70","LFT_00222","fliP"
"71","LFT_00226","flhA"
"72","LFT_00227","flhF"
"73","LFT_00229","fliA"
"74","LFT_00232","cheA"
"75","LFT_00233","cheB"
"76","LFT_00238","motB"
"77","LFT_00249","dapL"
"78","LFT_00253","mutY"
"79","LFT_00263","dprA"
"80","LFT_00266","trmFO"
"81","LFT_00268","hslV"
"82","LFT_00269","hslU"
"83","LFT_00270","argB"
"84","LFT_00272","dut"
"85","LFT_00273","rsmI"
"86","LFT_00274","panC"
"87","LFT_00276","frmR"
"88","LFT_00301","ruvB"
"89","LFT_00302","ruvA"
"90","LFT_00303","ruvC"
"91","LFT_00319","mdeA"
"92","LFT_00322","amtB"
"93","LFT_00325","copA"
"94","LFT_00331","pepN"
"95","LFT_00343","adhA"
"96","LFT_00364","ectD"
"97","LFT_00365","ectC"
"98","LFT_00366","ectB"
"99","LFT_00367","ectA"
"100","LFT_00378","rbr"
"101","LFT_00380","pabB"
"102","LFT_00390","murJ"
"103","LFT_00391","rpsT"
"104","LFT_00394","leuS"
"105","LFT_00408","yhjE"
"106","LFT_00416","hflX"
"107","LFT_00420","serS"
"108","LFT_00427","gpsA"
"109","LFT_00429","truA"
"110","LFT_00432","mrp"
"111","LFT_00437","hscB"
"112","LFT_00439","iscU"
"113","LFT_00446","aprA"
"114","LFT_00448","sat"
"115","LFT_00459","cydA"
"116","LFT_00460","cydB"
"117","LFT_00474","kdpC"
"118","LFT_00475","kdpA"
"119","LFT_00476","kdpB"
"120","LFT_00489","glpC"
"121","LFT_00501","msrA"
"122","LFT_00511","leuC"
"123","LFT_00513","rfbA"
"124","LFT_00519","gadB"
"125","LFT_00520","treZ"
"126","LFT_00521","treY"
"127","LFT_00615","mraZ"
"128","LFT_00616","rsmH"
"129","LFT_00619","murE"
"130","LFT_00620","murF"
"131","LFT_00621","mraY"
"132","LFT_00622","murD"
"133","LFT_00623","ftsW"
"134","LFT_00624","murG"
"135","LFT_00625","murC"
"136","LFT_00626","murB"
"137","LFT_00627","ddl"
"138","LFT_00629","ftsA"
"139","LFT_00630","ftsZ"
"140","LFT_00631","yfiH"
"141","LFT_00633","proC"
"142","LFT_00639","shc"
"143","LFT_00649","cbiX"
"144","LFT_00650","hemE"
"145","LFT_00667","metK"
"146","LFT_00668","ahcY"
"147","LFT_00670","cysK"
"148","LFT_00676","mec"
"149","LFT_00679","galE"
"150","LFT_00689","fieF"
"151","LFT_00690","uvrA"
"152","LFT_00691","lolA"
"153","LFT_00692","ftsK"
"154","LFT_00696","slt"
"155","LFT_00701","rny"
"156","LFT_00703","xseA"
"157","LFT_00704","xseB"
"158","LFT_00706","dxs"
"159","LFT_00707","tlyA"
"160","LFT_00709","cutA"
"161","LFT_00711","secA"
"162","LFT_00713","nuoB"
"163","LFT_00720","nuoH"
"164","LFT_00721","nuoI"
"165","LFT_00722","nuoJ"
"166","LFT_00725","nuoM"
"167","LFT_00726","nuoN"
"168","LFT_00769","polB"
"169","LFT_00773","pgi"
"170","LFT_00780","arsB"
"171","LFT_00781","arsC"
"172","LFT_00791","nsrR"
"173","LFT_00797","algC"
"174","LFT_00804","recO"
"175","LFT_00807","rlmI"
"176","LFT_00808","typA"
"177","LFT_00809","cypB"
"178","LFT_00811","metH"
"179","LFT_00813","thiC"
"180","LFT_00816","uvrC"
"181","LFT_00818","aroE"
"182","LFT_00819","ftsY"
"183","LFT_00820","ybeY"
"184","LFT_00829","cheV"
"185","LFT_00832","nusA"
"186","LFT_00833","infB"
"187","LFT_00835","rbfA"
"188","LFT_00836","truB"
"189","LFT_00837","rpsO"
"190","LFT_00838","pnp"
"191","LFT_00841","pdxJ"
"192","LFT_00842","acpS"
"193","LFT_00846","mutS"
"194","LFT_00849","fabI"
"195","LFT_00855","recG"
"196","LFT_00859","cca"
"197","LFT_00867","rpsA"
"198","LFT_00870","ffh"
"199","LFT_00871","rpsP"
"200","LFT_00873","trmD"
"201","LFT_00874","rplS"
"202","LFT_00875","rnhB"
"203","LFT_00880","groL"
"204","LFT_00882","recN"
"205","LFT_00884","speA"
"206","LFT_00885","speE"
"207","LFT_00887","speH"
"208","LFT_00891","pgpA"
"209","LFT_00892","recA"
"210","LFT_00893","alaS"
"211","LFT_00895","yqgF"
"212","LFT_00896","mltG"
"213","LFT_00897","valS"
"214","LFT_00900","birA"
"215","LFT_00901","coaX"
"216","LFT_00907","mdh"
"217","LFT_00909","lptA"
"218","LFT_00910","lptB"
"219","LFT_00911","rpoN"
"220","LFT_00915","aroC"
"221","LFT_00923","queF"
"222","LFT_00930","cpoB"
"223","LFT_00931","mutL"
"224","LFT_00932","miaA"
"225","LFT_00934","mtnP"
"226","LFT_00958","clpC"
"227","LFT_00961","argS"
"228","LFT_00962","tgt"
"229","LFT_00967","recJ"
"230","LFT_00968","relA"
"231","LFT_00978","hrcA"
"232","LFT_00979","grpE"
"233","LFT_00986","cobT"
"234","LFT_00987","cobS"
"235","LFT_01125","pilT"
"236","LFT_01140","cas3"
"237","LFT_01144","casC"
"238","LFT_01162","merC"
"239","LFT_01168","nifH"
"240","LFT_01175","nifB"
"241","LFT_01176","yfhL"
"242","LFT_01177","iscA"
"243","LFT_01198","modB"
"244","LFT_01201","mog"
"245","LFT_01202","moaC"
"246","LFT_01203","moeA"
"247","LFT_01210","nasA"
"248","LFT_01232","hisC"
"249","LFT_01265","hipA"
"250","LFT_01301","bamA"
"251","LFT_01303","lpxD"
"252","LFT_01304","fabZ"
"253","LFT_01308","lpxB"
"254","LFT_01310","msbA"
"255","LFT_01312","lpxK"
"256","LFT_01332","bioA"
"257","LFT_01335","yacL"
"258","LFT_01337","cysE"
"259","LFT_01342","ppm1"
"260","LFT_01344","purH"
"261","LFT_01345","purD"
"262","LFT_01348","rsmD"
"263","LFT_01349","coaD"
"264","LFT_01351","lolD"
"265","LFT_01352","lolC"
"266","LFT_01353","lysS"
"267","LFT_01354","mtnA"
"268","LFT_01356","hemH"
"269","LFT_01359","miaB"
"270","LFT_01367","hom"
"271","LFT_01370","lysC"
"272","LFT_01375","surE"
"273","LFT_01377","cysS"
"274","LFT_01380","nadE"
"275","LFT_01381","ribBA"
"276","LFT_01382","ribH"
"277","LFT_01383","nusB"
"278","LFT_01385","purB"
"279","LFT_01386","purC"
"280","LFT_01387","purS"
"281","LFT_01391","ackA"
"282","LFT_01398","ybhS"
"283","LFT_01404","fbaB"
"284","LFT_01423","yhaO"
"285","LFT_01446","bicA"
"286","LFT_01456","trpS"
"287","LFT_01457","accA"
"288","LFT_01458","dnaE"
"289","LFT_01468","nth"
"290","LFT_01470","lgt"
"291","LFT_01496","glgA"
"292","LFT_01504","purE"
"293","LFT_01505","purK"
"294","LFT_01525","dnaB"
"295","LFT_01526","hisZ"
"296","LFT_01527","serA"
"297","LFT_01529","oppA"
"298","LFT_01535","guaA_1"
"299","LFT_01538","tyrS"
"300","LFT_01541","ndk"
"301","LFT_01545","sfsA"
"302","LFT_01547","thiO"
"303","LFT_01551","pheA"
"304","LFT_01552","aroF"
"305","LFT_01553","tyrA"
"306","LFT_01555","cmk"
"307","LFT_01556","plsC"
"308","LFT_01560","folE"
"309","LFT_01561","folD"
"310","LFT_01563","panB"
"311","LFT_01565","xthA"
"312","LFT_01569","yhaM"
"313","LFT_01573","acyP"
"314","LFT_01575","fumC"
"315","LFT_01579","cobQ"
"316","LFT_01590","cbiL"
"317","LFT_01592","ribE"
"318","LFT_01593","ribD"
"319","LFT_01594","glyS"
"320","LFT_01595","glyQ"
"321","LFT_01597","bioB"
"322","LFT_01598","bioW"
"323","LFT_01599","bioF"
"324","LFT_01605","gmk"
"325","LFT_01606","rpoZ"
"326","LFT_01607","coaBC"
"327","LFT_01609","aroQ"
"328","LFT_01610","efp"
"329","LFT_01611","accB"
"330","LFT_01614","thiE"
"331","LFT_01647","purQ"
"332","LFT_01648","purL"
"333","LFT_01649","purF"
"334","LFT_01651","hldD"
"335","LFT_01656","otsA"
"336","LFT_01657","otsB"
"337","LFT_01660","rplQ"
"338","LFT_01661","rpoA"
"339","LFT_01662","rpsD"
"340","LFT_01663","rpsM"
"341","LFT_01664","infA"
"342","LFT_01665","map"
"343","LFT_01666","adk"
"344","LFT_01667","secY"
"345","LFT_01668","rplO"
"346","LFT_01669","rpsE"
"347","LFT_01670","rplR"
"348","LFT_01671","rplF"
"349","LFT_01672","rpsH"
"350","LFT_01673","rplE"
"351","LFT_01675","rpsC"
"352","LFT_01676","rplV"
"353","LFT_01677","rpsS"
"354","LFT_01678","rplB"
"355","LFT_01679","rplW"
"356","LFT_01680","rplD"
"357","LFT_01681","rplC"
"358","LFT_01682","rpsJ"
"359","LFT_01684","fusA"
"360","LFT_01685","rpsG"
"361","LFT_01686","rpsL"
"362","LFT_01687","rpoC"
"363","LFT_01688","rpoB"
"364","LFT_01689","rplL"
"365","LFT_01690","rplJ"
"366","LFT_01691","rplA"
"367","LFT_01692","rplK"
"368","LFT_01693","nusG"
"369","LFT_01694","secE"
"370","LFT_01703","rimO"
"371","LFT_01707","rlpA"
"372","LFT_01709","rpsR"
"373","LFT_01711","rpsF"
"374","LFT_01712","ychF"
"375","LFT_01713","pth"
"376","LFT_01714","ctc"
"377","LFT_01715","prs"
"378","LFT_01717","ispE"
"379","LFT_01722","clpX"
"380","LFT_01723","clpP"
"381","LFT_01724","tig"
"382","LFT_01727","zwf"
"383","LFT_01728","tal"
"384","LFT_01729","tkt"
"385","LFT_01730","pgl"
"386","LFT_01731","glk"
"387","LFT_01762","alkA"
"388","LFT_01772","yceI"
"389","LFT_01776","hycD"
"390","LFT_01779","hycE"
"391","LFT_01806","acoA"
"392","LFT_01881","namA"
"393","LFT_01884","lhgO"
"394","LFT_01886","tatA"
"395","LFT_01891","rlmN"
"396","LFT_01902","plsY"
"397","LFT_01905","kdsD"
"398","LFT_01906","kdsA"
"399","LFT_01907","pyrG"
"400","LFT_01908","kdsB"
"401","LFT_01911","lepA"
"402","LFT_01913","hisS"
"403","LFT_01921","prfB"
"404","LFT_01922","lnt"
"405","LFT_01936","aspS"
"406","LFT_01937","glnA"
"407","LFT_01945","greA"
"408","LFT_01946","carB"
"409","LFT_01948","carA"
"410","LFT_01949","pyrC"
"411","LFT_01950","pyrB"
"412","LFT_01951","pyrR"
"413","LFT_01977","nadK"
"414","LFT_01979","lptD"
"415","LFT_01981","accD"
"416","LFT_01982","trpA"
"417","LFT_01983","trpB"
"418","LFT_01984","trpF"
"419","LFT_01985","trpC"
"420","LFT_01988","trpE"
"421","LFT_01990","nudF"
"422","LFT_02010","thrB"
"423","LFT_02011","pyrD"
"424","LFT_02018","dcd"
"425","LFT_02020","bluB"
"426","LFT_02021","kamA"
"427","LFT_02024","hemA"
"428","LFT_02025","hemC"
"429","LFT_02028","hemB"
"430","LFT_02029","ribF"
"431","LFT_02030","tilS"
"432","LFT_02031","hpt"
"433","LFT_02032","ftsH"
"434","LFT_02033","folP"
"435","LFT_02038","yecD"
"436","LFT_02078","czcD"
"437","LFT_02102","recD"
"438","LFT_02103","recB"
"439","LFT_02104","recC"
"440","LFT_02119","glmM"
"441","LFT_02120","ywnA"
"442","LFT_02134","eno"
"443","LFT_02137","gatB"
"444","LFT_02138","gatA"
"445","LFT_02139","panD"
"446","LFT_02140","gatC"
"447","LFT_02144","glmU"
"448","LFT_02147","cadI"
"449","LFT_02154","mtnB"
"450","LFT_02155","mtnX"
"451","LFT_02156","mtnW"
"452","LFT_02157","mtnD"
"453","LFT_02160","perR"
"454","LFT_02165","metG"
"455","LFT_02179","der"
"456","LFT_02180","ppsA"
"457","LFT_02183","argA"
"458","LFT_02190","purN"
"459","LFT_02191","purM"
"460","LFT_02195","fabF"
"461","LFT_02196","acpP"
"462","LFT_02198","fabD"
"463","LFT_02200","plsX"
"464","LFT_02201","rpmF"
"465","LFT_02203","proS"
"466","LFT_02204","ispG"
"467","LFT_02206","dxr"
"468","LFT_02207","cdsA"
"469","LFT_02208","uppS"
"470","LFT_02210","fhs"
"471","LFT_02211","uppP"
"472","LFT_02212","tatC"
"473","LFT_02213","tatB"
"474","LFT_02217","radA"
"475","LFT_02220","pmbA"
"476","LFT_02221","tldD"
"477","LFT_02274","lipA"
"478","LFT_02275","gpmA"
"479","LFT_02279","rhlE"
"480","LFT_02281","murI"
"481","LFT_02284","rph"
"482","LFT_02288","rluB"
"483","LFT_02295","rnhA"
"484","LFT_02300","dnaG"
"485","LFT_02302","rpsU"
"486","LFT_02305","hisI"
"487","LFT_02306","hisF"
"488","LFT_02308","hisH"
"489","LFT_02309","hisB"
"490","LFT_02311","hisD"
"491","LFT_02312","hisG"
"492","LFT_02313","murA"
"493","LFT_02314","prmC"
"494","LFT_02315","prfA"
"495","LFT_02316","rpmE"
"496","LFT_02317","rho"
"497","LFT_02322","fbp"
"498","LFT_02326","thyX"
"499","LFT_02327","phoU"
"500","LFT_02329","pstA"
"501","LFT_02330","pstC"
"502","LFT_02337","purA"
"503","LFT_02346","mrcB"
"504","LFT_02348","bcsZ"
"505","LFT_02361","fliM"
"506","LFT_02365","ppa"
"507","LFT_02376","fliS"
"508","LFT_02377","fliD"
"509","LFT_02379","fliW"
"510","LFT_02380","csrA"
"511","LFT_02381","flgL"
"512","LFT_02382","flgK"
"513","LFT_02387","flgI"
"514","LFT_02394","dapB"
"515","LFT_02395","dapA"
"516","LFT_02397","lysA"
"517","LFT_02398","argH"
"518","LFT_02399","argG"
"519","LFT_02400","argF"
"520","LFT_02401","argD"
"521","LFT_02403","yajR"
"522","LFT_02406","ubiA"
"523","LFT_02416","rpiB"
"524","LFT_02417","glyA"
"525","LFT_02418","nrdR"
"526","LFT_02431","frr"
"527","LFT_02432","pyrH"
"528","LFT_02433","tsf"
"529","LFT_02434","rpsB"
"530","LFT_02435","argJ"
"531","LFT_02436","argC"
"532","LFT_02437","rpsI"
"533","LFT_02438","rplM"
"534","LFT_02442","folB"
"535","LFT_02444","rng"
"536","LFT_02445","mrdB"
"537","LFT_02446","mrdA"
"538","LFT_02448","mreC"
"539","LFT_02449","mreB"
"540","LFT_02451","rpe"
"541","LFT_02452","htpX"
"542","LFT_02453","fmt"
"543","LFT_02460","trxB"
"544","LFT_02464","ygfZ"
"545","LFT_02469","galT"
"546","LFT_02473","glgC"
"547","LFT_02487","nadB"
"548","LFT_02489","gltX"
"549","LFT_02505","hemL"
"550","LFT_02506","gmhA"
"551","LFT_02508","mfd"
"552","LFT_02511","surA"
"553","LFT_02512","engB"
"554","LFT_02513","anmK"
"555","LFT_02520","ileS"
"556","LFT_02521","lspA"
"557","LFT_02523","rluD"
"558","LFT_02525","ispB"
"559","LFT_02528","suhB"
"560","LFT_02535","lpxC"
"561","LFT_02543","mnmA"
"562","LFT_02547","rsmG"
"563","LFT_02549","mnmE"
"564","LFT_02550","yidC"
"565","LFT_02551","rplI"
"566","LFT_02554","mscL"
"567","LFT_02556","cbiD"
"568","LFT_02559","cbiG"
"569","LFT_02561","cobO"
"570","LFT_02563","pyrF"
"571","LFT_02564","prmA"
"572","LFT_02581","nadA"
"573","LFT_02582","asd"
"574","LFT_02583","leuB"
"575","LFT_02586","psd"
"576","LFT_02587","ilvC"
"577","LFT_00020","leuA_1"
"578","LFT_00021","lrp"
"579","LFT_00045","fabH_1"
"580","LFT_00046","bamD_2"
"581","LFT_00051","pyrE_1"
"582","LFT_00060","oppC_1"
"583","LFT_00061","gph_1"
"584","LFT_00070","atpD1"
"585","LFT_00086","acsA"
"586","LFT_00092","thrZ"
"587","LFT_00118","ilvE_1"
"588","LFT_00127","pal_1"
"589","LFT_00128","pal_2"
"590","LFT_00139","lpd"
"591","LFT_00159","dnaX_1"
"592","LFT_00166","tusA_2"
"593","LFT_00193","gcvT_1"
"594","LFT_00194","gcvT_2"
"595","LFT_00225","flhB_1"
"596","LFT_00235","cheW"
"597","LFT_00242","flhB_2"
"598","LFT_00264","topA_1"
"599","LFT_00265","topA_2"
"600","LFT_00267","xerD_1"
"601","LFT_00315","oppC_2"
"602","LFT_00316","oppC_3"
"603","LFT_00323","glnB_1"
"604","LFT_00334","uvrB_1"
"605","LFT_00335","uvrB_2"
"606","LFT_00348","bcp_1"
"607","LFT_00349","arc_1"
"608","LFT_00350","arc_2"
"609","LFT_00351","dop_1"
"610","LFT_00353","prcB_1"
"611","LFT_00355","pafA_1"
"612","LFT_00356","pafA_2"
"613","LFT_00368","proP_1"
"614","LFT_00377","nrdZ_1"
"615","LFT_00435","fdx_1"
"616","LFT_00440","iscS_1"
"617","LFT_00471","yhdG_1"
"618","LFT_00486","bcp_2"
"619","LFT_00491","iscS_2"
"620","LFT_00510","leuD1"
"621","LFT_00523","treS_2"
"622","LFT_00529","glgE1"
"623","LFT_00541","rpfG_1"
"624","LFT_00556","glfT2"
"625","LFT_00581","sigE"
"626","LFT_00583","merA_1"
"627","LFT_00593","glmS_1"
"628","LFT_00610","sucC_2"
"629","LFT_00611","sucD_2"
"630","LFT_00644","ispH1"
"631","LFT_00651","hemN_1"
"632","LFT_00671","moeZ_2"
"633","LFT_00672","thrC_1"
"634","LFT_00675","moeZ_3"
"635","LFT_00678","phoR_1"
"636","LFT_00680","nfo_1"
"637","LFT_00681","nfo_2"
"638","LFT_00688","pdxA2"
"639","LFT_00693","rnj1"
"640","LFT_00724","nuoL_1"
"641","LFT_00727","lexA_1"
"642","LFT_00730","glnB_2"
"643","LFT_00765","bcsB"
"644","LFT_00766","bcsA_1"
"645","LFT_00772","lexA_2"
"646","LFT_00802","era_1"
"647","LFT_00803","era_2"
"648","LFT_00843","nnr"
"649","LFT_00868","sppA_1"
"650","LFT_00879","groS1"
"651","LFT_00881","trxA_2"
"652","LFT_00898","nadC_1"
"653","LFT_00899","nadC_2"
"654","LFT_00916","aroL"
"655","LFT_00917","aroB_1"
"656","LFT_00918","aroB_2"
"657","LFT_00929","tolB_1"
"658","LFT_00951","cusB_2"
"659","LFT_00959","tsaD_1"
"660","LFT_00960","tsaD_2"
"661","LFT_00974","emrB_1"
"662","LFT_00980","dnaK_2"
"663","LFT_00981","dnaJ_1"
"664","LFT_00985","cobP"
"665","LFT_00997","icd_1"
"666","LFT_01073","nrdZ_2"
"667","LFT_01083","ssb_1"
"668","LFT_01094","tmk_1"
"669","LFT_01137","traG_1"
"670","LFT_01138","traG_2"
"671","LFT_01163","merA_2"
"672","LFT_01169","nifD_1"
"673","LFT_01170","nifK_1"
"674","LFT_01171","nifD_2"
"675","LFT_01172","nifK_2"
"676","LFT_01190","nifW2"
"677","LFT_01197","modA_2"
"678","LFT_01204","moaE1"
"679","LFT_01206","moaA1"
"680","LFT_01214","higB_1"
"681","LFT_01225","ilvD_1"
"682","LFT_01263","ilvD_2"
"683","LFT_01294","dnaJ_2"
"684","LFT_01296","sigM"
"685","LFT_01305","lpxA_1"
"686","LFT_01315","rfaC_1"
"687","LFT_01327","icaB_2"
"688","LFT_01336","ispDF"
"689","LFT_01368","thrC_2"
"690","LFT_01372","lpxA_2"
"691","LFT_01396","exbB_2"
"692","LFT_01397","ybhR_1"
"693","LFT_01399","ybhF_1"
"694","LFT_01409","pgm_1"
"695","LFT_01410","pgm_2"
"696","LFT_01412","ccoN1_1"
"697","LFT_01451","amiA"
"698","LFT_01490","xerD_3"
"699","LFT_01521","cspLA"
"700","LFT_01554","aroA1"
"701","LFT_01570","gltS"
"702","LFT_01577","cobD_1"
"703","LFT_01578","cobD_2"
"704","LFT_01581","ilvD_3"
"705","LFT_01601","pbpB"
"706","LFT_01612","accC_1"
"707","LFT_01613","accC_2"
"708","LFT_01626","bioD1"
"709","LFT_01683","tufA_1"
"710","LFT_01696","tufA_2"
"711","LFT_01710","ssb_2"
"712","LFT_01719","pgsA_1"
"713","LFT_01740","qorA"
"714","LFT_01742","hemY_1"
"715","LFT_01743","hemY_2"
"716","LFT_01775","hyfB_1"
"717","LFT_01778","hyfB_2"
"718","LFT_01805","fcl_2"
"719","LFT_01851","ilvD_4"
"720","LFT_01853","ilvD_5"
"721","LFT_01882","yijE_1"
"722","LFT_01883","yijE_2"
"723","LFT_01887","ccoN1_2"
"724","LFT_01903","pgsA_2"
"725","LFT_01919","lon1"
"726","LFT_01925","ligB"
"727","LFT_01928","lon2"
"728","LFT_01931","guaB_2"
"729","LFT_01932","guaA_2"
"730","LFT_01967","sppA_2"
"731","LFT_01986","trpD2"
"732","LFT_02012","dop_2"
"733","LFT_02013","prcA_2"
"734","LFT_02014","prcB_2"
"735","LFT_02016","dop_3"
"736","LFT_02048","phrA"
"737","LFT_02049","kch_1"
"738","LFT_02068","traI_2"
"739","LFT_02096","exbB_3"
"740","LFT_02130","zraR_8"
"741","LFT_02143","glmS_2"
"742","LFT_02162","tmk_2"
"743","LFT_02174","yhdG_3"
"744","LFT_02187","zwf1"
"745","LFT_02194","rnc_1"
"746","LFT_02199","fabH_2"
"747","LFT_02271","glgX_1"
"748","LFT_02272","glgX_2"
"749","LFT_02298","rpoD_1"
"750","LFT_02299","rpoD_2"
"751","LFT_02303","hup_1"
"752","LFT_02310","hisC2"
"753","LFT_02319","hdaH"
"754","LFT_02328","pstB3"
"755","LFT_02332","pstS1_1"
"756","LFT_02350","bcsA_2"
"757","LFT_02352","bcsA_3"
"758","LFT_02359","nuoL_5"
"759","LFT_02362","macA_3"
"760","LFT_02390","flgG_1"
"761","LFT_02392","flgG_2"
"762","LFT_02402","kch_2"
"763","LFT_02410","ubiE_2"
"764","LFT_02413","tmk_3"
"765","LFT_02414","tmk_4"
"766","LFT_02419","priA_2"
"767","LFT_02423","resA_2"
"768","LFT_02424","resA_3"
"769","LFT_02425","ccsA_2"
"770","LFT_02426","ccsB"
"771","LFT_02429","mlaE_3"
"772","LFT_02430","alr1"
"773","LFT_02440","fdx_2"
"774","LFT_02454","def_1"
"775","LFT_02456","estB_2"
"776","LFT_02470","amyA_1"
"777","LFT_02471","amyA_2"
"778","LFT_02482","hup_2"
"779","LFT_02484","clpB_2"
"780","LFT_02530","ppcA_1"
"781","LFT_02531","ppcA_2"
"782","LFT_02532","ppcA_3"
"783","LFT_02538","fdx_3"
"784","LFT_02541","rnc_2"
"785","LFT_02557","cbiET_1"
"786","LFT_02558","cbiET_2"
"787","LFT_02562","def_2"
"788","LFT_02569","pstS1_2"
"789","LFT_02584","leuA_3"
"790","LFT_02588","ilvB"
